fb_str;city;postcode;Number_of_students;faculty_plz
Medizinische Fakultät;Fulda;Undefined;3;97080
Medizinische Fakultät;Fürth;Undefined;4;97080
Medizinische Fakultät;Gerbrunn;97218;26;97080
Medizinische Fakultät;Gerolzhofen;97447;4;97080
Medizinische Fakultät;Gießen;Undefined;3;97080
Medizinische Fakultät;Gräfelfing;82166;3;97080
Medizinische Fakultät;Gunzenhausen;91710;3;97080
Medizinische Fakultät;Göttingen;Undefined;4;97080
Medizinische Fakultät;Güntersleben;97261;4;97080
Medizinische Fakultät;Günzburg;89312;3;97080
Medizinische Fakultät;Hamburg;Undefined;15;97080
Medizinische Fakultät;Hammelburg;97762;6;97080
Medizinische Fakultät;Hanau;Undefined;3;97080
Medizinische Fakultät;Hannover;Undefined;12;97080
Medizinische Fakultät;Haßfurt;97437;5;97080
Medizinische Fakultät;Heidelberg;69121;3;97080
Medizinische Fakultät;Heidenheim an der Brenz;Undefined;3;97080
Medizinische Fakultät;Heilbronn;74074;8;97080
Medizinische Fakultät;Heilbronn;74076;3;97080
Medizinische Fakultät;Heilsbronn;91560;4;97080
Medizinische Fakultät;Herten;Undefined;3;97080
Medizinische Fakultät;Hilpoltstein;91161;3;97080
Medizinische Fakultät;Hof;95030;3;97080
Medizinische Fakultät;Hof;Undefined;4;97080
Medizinische Fakultät;Hofheim;97461;3;97080
Medizinische Fakultät;Homburg;66424;3;97080
Medizinische Fakultät;Höchberg;97204;19;97080
Medizinische Fakultät;Hösbach;63768;3;97080
Medizinische Fakultät;Ilsfeld;74360;3;97080
Medizinische Fakultät;Ingolstadt;Undefined;5;97080
Medizinische Fakultät;Iphofen;97346;3;97080
Medizinische Fakultät;Jena;07743;3;97080
Medizinische Fakultät;Kaiserslautern;Undefined;3;97080
Medizinische Fakultät;Karlsruhe;Undefined;5;97080
Medizinische Fakultät;Karlstadt;97753;3;97080
Medizinische Fakultät;Kassel;34130;3;97080
Medizinische Fakultät;Kassel;Undefined;4;97080
Medizinische Fakultät;Kaufbeuren;87600;5;97080
Medizinische Fakultät;Kiel;Undefined;3;97080
Medizinische Fakultät;Kist;97270;3;97080
Medizinische Fakultät;Kitzingen;97318;13;97080
Medizinische Fakultät;Konstanz;Undefined;3;97080
Medizinische Fakultät;Krefeld;Undefined;3;97080
Medizinische Fakultät;Kulmbach;95326;3;97080
Medizinische Fakultät;Köln;Undefined;13;97080
Medizinische Fakultät;Kürnach;97273;4;97080
Medizinische Fakultät;Lappersdorf;93138;4;97080
Medizinische Fakultät;Lauda-Königshofen;97922;6;97080
Medizinische Fakultät;Lauterbach;36341;4;97080
Medizinische Fakultät;Leinach;97274;3;97080
Medizinische Fakultät;Leingarten;74211;3;97080
Medizinische Fakultät;Leipzig;04229;3;97080
Medizinische Fakultät;Leipzig;Undefined;14;97080
Medizinische Fakultät;Leonberg;71229;5;97080
Medizinische Fakultät;Lörrach;Undefined;3;97080
Medizinische Fakultät;Mainz;55129;3;97080
Medizinische Fakultät;Mainz;Undefined;10;97080
Medizinische Fakultät;Mannheim;Undefined;8;97080
Medizinische Fakultät;Marburg;35037;3;97080
Medizinische Fakultät;Margetshöchheim;97276;5;97080
Medizinische Fakultät;Marktheidenfeld;97828;6;97080
Medizinische Fakultät;Meckenbeuren;88074;3;97080
Medizinische Fakultät;Memmingen;87700;4;97080
Medizinische Fakultät;Mindelheim;87719;3;97080
Medizinische Fakultät;Minden;32429;3;97080
Medizinische Fakultät;Mosbach;74821;3;97080
Medizinische Fakultät;Mömbris;63776;3;97080
Medizinische Fakultät;Mönchengladbach;Undefined;4;97080
Medizinische Fakultät;Mühlhausen;Undefined;3;97080
Medizinische Fakultät;Münchberg;95213;3;97080
Medizinische Fakultät;München;81541;3;97080
Medizinische Fakultät;München;81667;3;97080
Medizinische Fakultät;München;Undefined;37;97080
Medizinische Fakultät;Münster;Undefined;6;97080
Medizinische Fakultät;Neckarsulm;74172;4;97080
Medizinische Fakultät;Neu-Ulm;Undefined;3;97080
Medizinische Fakultät;Neumarkt;92318;4;97080
Medizinische Fakultät;Neuss;Undefined;5;97080
Medizinische Fakultät;Neustadt;Undefined;3;97080
Medizinische Fakultät;Nördlingen;86720;3;97080
Medizinische Fakultät;Nürnberg;90482;4;97080
Medizinische Fakultät;Nürnberg;Undefined;15;97080
Medizinische Fakultät;Oberursel;61440;5;97080
Medizinische Fakultät;Ochsenfurt;97199;4;97080
Medizinische Fakultät;Oerlenbach;97714;3;97080
Medizinische Fakultät;Offenbach am Main;Undefined;3;97080
Medizinische Fakultät;Oldenburg;Undefined;6;97080
Medizinische Fakultät;Osnabrück;49076;3;97080
Medizinische Fakultät;Osnabrück;Undefined;4;97080
Medizinische Fakultät;Paderborn;Undefined;4;97080
Medizinische Fakultät;Passau;Undefined;5;97080
Medizinische Fakultät;Petersberg;36100;4;97080
Medizinische Fakultät;Randersacker;97236;7;97080
Medizinische Fakultät;Ratingen;Undefined;3;97080
Medizinische Fakultät;Regensburg;93051;4;97080
Medizinische Fakultät;Regensburg;93053;3;97080
Medizinische Fakultät;Regensburg;Undefined;5;97080
Medizinische Fakultät;Reutlingen;72762;4;97080
Medizinische Fakultät;Reutlingen;72766;3;97080
Medizinische Fakultät;Rimpar;97222;10;97080
Medizinische Fakultät;Rosenheim;Undefined;4;97080
Medizinische Fakultät;Roth;91154;4;97080
Medizinische Fakultät;Rottenburg;72108;4;97080
Medizinische Fakultät;Rottendorf;97228;7;97080
Medizinische Fakultät;Sankt Augustin;53757;4;97080
Medizinische Fakultät;Schonungen;97453;3;97080
Medizinische Fakultät;Schwanfeld;97523;3;97080
Medizinische Fakultät;Schweinfurt;97421;3;97080
Medizinische Fakultät;Schweinfurt;97422;9;97080
Medizinische Fakultät;Schweinfurt;97424;3;97080
Medizinische Fakultät;Schwäbisch Gmünd;Undefined;3;97080
Medizinische Fakultät;Sommerhausen;97286;3;97080
Medizinische Fakultät;Stadtbergen;86391;3;97080
Medizinische Fakultät;Stuttgart;70597;3;97080
Medizinische Fakultät;Stuttgart;Undefined;16;97080
Medizinische Fakultät;Tauberbischofsheim;97941;5;97080
Medizinische Fakultät;Tübingen;72072;3;97080
Medizinische Fakultät;Tübingen;Undefined;5;97080
Medizinische Fakultät;Uffenheim;97215;3;97080
Medizinische Fakultät;Undefined;Undefined;1195;97080
Medizinische Fakultät;Urspringen;97857;3;97080
Medizinische Fakultät;Uttenreuth;91080;4;97080
Medizinische Fakultät;Veitshöchheim;97209;20;97080
Medizinische Fakultät;Volkach;97332;5;97080
Medizinische Fakultät;Waldbüttelbrunn;97297;4;97080
Medizinische Fakultät;Waldkirchen;94065;3;97080
Medizinische Fakultät;Walldürn;74731;6;97080
Medizinische Fakultät;Wartenberg;36367;3;97080
Medizinische Fakultät;Weiden;92637;3;97080
Medizinische Fakultät;Weikersheim;97990;4;97080
Medizinische Fakultät;Weimar;99425;3;97080
Medizinische Fakultät;Weinheim;69469;3;97080
Medizinische Fakultät;Werneck;97440;4;97080
Medizinische Fakultät;Wertheim;97877;5;97080
Medizinische Fakultät;Wien;Undefined;6;97080
Medizinische Fakultät;Wiesbaden;Undefined;6;97080
Medizinische Fakultät;Würzburg;97070;272;97080
Medizinische Fakultät;Würzburg;97072;245;97080
Medizinische Fakultät;Würzburg;97074;177;97080
Medizinische Fakultät;Würzburg;97076;44;97080
Medizinische Fakultät;Würzburg;97078;83;97080
Medizinische Fakultät;Würzburg;97080;303;97080
Medizinische Fakultät;Würzburg;97082;100;97080
Medizinische Fakultät;Würzburg;97084;30;97080
Medizinische Fakultät;Zell a. Main;97299;3;97080
Medizinische Fakultät;Zell am Main;97299;5;97080
Medizinische Fakultät;Zirndorf;90513;4;97080
Medizinische Fakultät;würzburg;97072;3;97080
Philosophische Fakultät;Aachen;Undefined;3;97074
Philosophische Fakultät;Adelsheim;74740;3;97074
Philosophische Fakultät;Altertheim;97237;4;97074
Philosophische Fakultät;Alzenau;63755;7;97074
Philosophische Fakultät;Amorbach;63916;3;97074
Philosophische Fakultät;Ansbach;91522;27;97074
Philosophische Fakultät;Arnstein;97450;16;97074
Philosophische Fakultät;Aschaffenburg;63739;14;97074
Philosophische Fakultät;Aschaffenburg;63741;13;97074
Philosophische Fakultät;Aschaffenburg;63743;18;97074
Philosophische Fakultät;Aub;97239;3;97074
Philosophische Fakultät;Augsburg;Undefined;4;97074
Philosophische Fakultät;Bad Brückenau;97769;7;97074
Philosophische Fakultät;Bad Friedrichshall;74177;3;97074
Philosophische Fakultät;Bad Hersfeld;36251;5;97074
Philosophische Fakultät;Bad Kissingen;97688;20;97074
Philosophische Fakultät;Bad Königshofen;97631;3;97074
Philosophische Fakultät;Bad Mergentheim;97980;24;97074
Philosophische Fakultät;Bad Neustadt;97616;8;97074
Philosophische Fakultät;Bad Neustadt an der Saale;97616;4;97074
Philosophische Fakultät;Bad Staffelstein;96231;3;97074
Philosophische Fakultät;Bad Windsheim;91438;9;97074
Philosophische Fakultät;Bamberg;96047;3;97074
Philosophische Fakultät;Bamberg;96049;9;97074
Philosophische Fakultät;Bamberg;Undefined;4;97074
Philosophische Fakultät;Bastheim;97654;4;97074
Philosophische Fakultät;Baudenbach;91460;3;97074
Philosophische Fakultät;Bayreuth;95444;3;97074
Philosophische Fakultät;Bayreuth;95448;5;97074
Philosophische Fakultät;Bayreuth;Undefined;5;97074
Philosophische Fakultät;Bergtheim;97241;6;97074
Philosophische Fakultät;Berlin;Undefined;9;97074
Philosophische Fakultät;Bessenbach;63856;4;97074
Philosophische Fakultät;Bieberehren;97243;3;97074
Philosophische Fakultät;Bielefeld;Undefined;3;97074
Philosophische Fakultät;Bonn;Undefined;3;97074
Philosophische Fakultät;Boxberg;97944;7;97074
Philosophische Fakultät;Breitungen;98597;4;97074
Philosophische Fakultät;Bruckmühl;83052;3;97074
Philosophische Fakultät;Buchen;74722;8;97074
Philosophische Fakultät;Burgbernheim;91593;4;97074
Philosophische Fakultät;Burgsinn;97775;6;97074
Philosophische Fakultät;Burkardroth;97705;3;97074
Philosophische Fakultät;Bürgstadt;63927;6;97074
Philosophische Fakultät;Castell;97355;4;97074
Philosophische Fakultät;Coburg;96450;11;97074
Philosophische Fakultät;Crailsheim;74564;10;97074
Philosophische Fakultät;Creglingen;97993;3;97074
Philosophische Fakultät;Detmold;32760;4;97074
Philosophische Fakultät;Dettelbach;97337;12;97074
Philosophische Fakultät;Diespeck;91456;3;97074
Philosophische Fakultät;Dietenhofen;90599;4;97074
Philosophische Fakultät;Dinkelsbühl;91550;15;97074
Philosophische Fakultät;Dittelbrunn;97456;3;97074
Philosophische Fakultät;Dombühl;91601;4;97074
Philosophische Fakultät;Donauwörth;86609;3;97074
Philosophische Fakultät;Duderstadt;37115;4;97074
Philosophische Fakultät;Ebern;96106;3;97074
Philosophische Fakultät;Ehingen;91725;3;97074
Philosophische Fakultät;Eibelstadt;97246;12;97074
Philosophische Fakultät;Eichenbühl;63928;4;97074
Philosophische Fakultät;Eisingen;97249;8;97074
Philosophische Fakultät;Ellwangen;73479;7;97074
Philosophische Fakultät;Elsenfeld;63820;6;97074
Philosophische Fakultät;Eltmann;97483;3;97074
Philosophische Fakultät;Erfurt;Undefined;3;97074
Philosophische Fakultät;Ergersheim;91465;3;97074
Philosophische Fakultät;Erlabrunn;97250;5;97074
Philosophische Fakultät;Erlangen;91056;4;97074
Philosophische Fakultät;Erlangen;91058;3;97074
Philosophische Fakultät;Erlangen;Undefined;3;97074
Philosophische Fakultät;Erlenbach am Main;63906;5;97074
Philosophische Fakultät;Estenfeld;97230;13;97074
Philosophische Fakultät;Euerbach;97502;4;97074
Philosophische Fakultät;Eußenheim;97776;6;97074
Philosophische Fakultät;Faulbach;97906;5;97074
Philosophische Fakultät;Feuchtwangen;91555;6;97074
Philosophische Fakultät;Flieden;36103;3;97074
Philosophische Fakultät;Forchheim;91301;3;97074
Philosophische Fakultät;Frammersbach;97833;3;97074
Philosophische Fakultät;Frankfurt;Undefined;3;97074
Philosophische Fakultät;Frankfurt am Main;Undefined;6;97074
Philosophische Fakultät;Freiburg im Breisgau;Undefined;3;97074
Philosophische Fakultät;Freudenberg;97896;5;97074
Philosophische Fakultät;Freystadt;92342;3;97074
Philosophische Fakultät;Fuchsstadt;97727;3;97074
Philosophische Fakultät;Fulda;36037;4;97074
Philosophische Fakultät;Fulda;36039;7;97074
Philosophische Fakultät;Fulda;36041;9;97074
Philosophische Fakultät;Fulda;36043;4;97074
Philosophische Fakultät;Fürth;Undefined;6;97074
Philosophische Fakultät;Gaukönigshofen;97253;4;97074
Philosophische Fakultät;Geiselwind;96160;5;97074
Philosophische Fakultät;Geldersheim;97505;3;97074
Philosophische Fakultät;Gemünden;97737;12;97074
Philosophische Fakultät;Gemünden a. Main;97737;3;97074
Philosophische Fakultät;Gemünden am Main;97737;8;97074
Philosophische Fakultät;Gerbrunn;97218;74;97074
Philosophische Fakultät;Gerchsheim;97950;3;97074
Philosophische Fakultät;Geroldshausen;97256;3;97074
Philosophische Fakultät;Giebelstadt;97232;11;97074
Philosophische Fakultät;Glattbach;63864;3;97074
Philosophische Fakultät;Gochsheim;97469;7;97074
Philosophische Fakultät;Goldbach;63773;9;97074
Philosophische Fakultät;Grafenrheinfeld;97506;9;97074
Philosophische Fakultät;Grettstadt;97508;7;97074
Philosophische Fakultät;Großheubach;63920;6;97074
Philosophische Fakultät;Großostheim;63762;14;97074
Philosophische Fakultät;Großrinderfeld;97950;8;97074
Philosophische Fakultät;Gräfendorf;97782;3;97074
Philosophische Fakultät;Grünsfeld;97947;4;97074
Philosophische Fakultät;Gunzenhausen;91710;6;97074
Philosophische Fakultät;Göttingen;37085;4;97074
Philosophische Fakultät;Güntersleben;97261;14;97074
Philosophische Fakultät;Günzburg;89312;7;97074
Philosophische Fakultät;Hafenlohr;97840;7;97074
Philosophische Fakultät;Haibach;63808;12;97074
Philosophische Fakultät;Hamburg;Undefined;4;97074
Philosophische Fakultät;Hammelburg;97762;10;97074
Philosophische Fakultät;Hanau;63450;3;97074
Philosophische Fakultät;Hannover;Undefined;4;97074
Philosophische Fakultät;Hassfurt;97437;3;97074
Philosophische Fakultät;Haßfurt;97437;15;97074
Philosophische Fakultät;Heidelberg;Undefined;5;97074
Philosophische Fakultät;Heilbronn;74078;3;97074
Philosophische Fakultät;Heilbronn;Undefined;4;97074
Philosophische Fakultät;Helmbrechts;95233;4;97074
Philosophische Fakultät;Helmstadt;97264;4;97074
Philosophische Fakultät;Herrieden;91567;9;97074
Philosophische Fakultät;Hersbruck;91217;3;97074
Philosophische Fakultät;Hettstadt;97265;15;97074
Philosophische Fakultät;Hilpoltstein;91161;3;97074
Philosophische Fakultät;Himmelstadt;97267;5;97074
Philosophische Fakultät;Hof;95032;3;97074
Philosophische Fakultät;Hofbieber;36145;4;97074
Philosophische Fakultät;Hohenroth;97618;4;97074
Philosophische Fakultät;Holzkirchen;97292;3;97074
Philosophische Fakultät;Höchberg;97204;32;97074
Philosophische Fakultät;Höchstadt;91315;3;97074
Philosophische Fakultät;Höpfingen;74746;6;97074
Philosophische Fakultät;Hösbach;63768;18;97074
Philosophische Fakultät;Hünfeld;36088;3;97074
Philosophische Fakultät;Igersheim;97999;4;97074
Philosophische Fakultät;Illertissen;89257;3;97074
Philosophische Fakultät;Immenstadt;87509;3;97074
Philosophische Fakultät;Ingolstadt;Undefined;3;97074
Philosophische Fakultät;Iphofen;97346;12;97074
Philosophische Fakultät;Jena;Undefined;4;97074
Philosophische Fakultät;Johannesberg;63867;8;97074
Philosophische Fakultät;Karben;61184;5;97074
Philosophische Fakultät;Karlsruhe;Undefined;5;97074
Philosophische Fakultät;Karlstadt;97753;43;97074
Philosophische Fakultät;Karsbach;97783;3;97074
Philosophische Fakultät;Kassel;Undefined;3;97074
Philosophische Fakultät;Kaufbeuren;87600;3;97074
Philosophische Fakultät;Kempten;Undefined;5;97074
Philosophische Fakultät;Kirchheim;97268;5;97074
Philosophische Fakultät;Kirchzell;63931;3;97074
Philosophische Fakultät;Kist;97270;6;97074
Philosophische Fakultät;Kitzingen;97318;61;97074
Philosophische Fakultät;Kleinheubach;63924;4;97074
Philosophische Fakultät;Kleinlangheim;97355;5;97074
Philosophische Fakultät;Kleinostheim;63801;10;97074
Philosophische Fakultät;Kleinrinderfeld;97271;6;97074
Philosophische Fakultät;Kleinwallstadt;63839;4;97074
Philosophische Fakultät;Knetzgau;97478;6;97074
Philosophische Fakultät;Kolitzheim;97509;5;97074
Philosophische Fakultät;Krefeld;Undefined;3;97074
Philosophische Fakultät;Kreuzwertheim;97892;6;97074
Philosophische Fakultät;Kronach;96317;6;97074
Philosophische Fakultät;Köln;Undefined;5;97074
Philosophische Fakultät;Königheim;97953;4;97074
Philosophische Fakultät;Külsheim;97900;3;97074
Philosophische Fakultät;Künzell;36093;9;97074
Philosophische Fakultät;Künzelsau;74653;3;97074
Philosophische Fakultät;Kürnach;97273;20;97074
Philosophische Fakultät;Lauda-Königshofen;97922;15;97074
Philosophische Fakultät;Laufach;63846;7;97074
Philosophische Fakultät;Leinach;97274;7;97074
Philosophische Fakultät;Leipheim;89340;4;97074
Philosophische Fakultät;Leipzig;Undefined;4;97074
Philosophische Fakultät;Lohr;97816;8;97074
Philosophische Fakultät;Lohr a. Main;97816;5;97074
Philosophische Fakultät;Lohr am Main;97816;15;97074
Philosophische Fakultät;Mainaschaff;63814;3;97074
Philosophische Fakultät;Mainstockheim;97320;3;97074
Philosophische Fakultät;Maintal;63477;3;97074
Philosophische Fakultät;Mainz;Undefined;4;97074
Philosophische Fakultät;Margetshöchheim;97276;14;97074
Philosophische Fakultät;Marktbergel;91613;4;97074
Philosophische Fakultät;Marktbreit;97340;11;97074
Philosophische Fakultät;Marktheidenfeld;97828;27;97074
Philosophische Fakultät;Marktredwitz;95615;3;97074
Philosophische Fakultät;Marktsteft;97342;5;97074
Philosophische Fakultät;Martinsheim;97340;4;97074
Philosophische Fakultät;Meiningen;98617;6;97074
Philosophische Fakultät;Mellrichstadt;97638;8;97074
Philosophische Fakultät;Memmingen;87700;4;97074
Philosophische Fakultät;Miltenberg;63897;9;97074
Philosophische Fakultät;Mosbach;74821;6;97074
Philosophische Fakultät;Mömbris;63776;3;97074
Philosophische Fakultät;Mömlingen;63853;3;97074
Philosophische Fakultät;München;81827;3;97074
Philosophische Fakultät;München;Undefined;21;97074
Philosophische Fakultät;Münnerstadt;97702;5;97074
Philosophische Fakultät;Neubrunn;97277;4;97074
Philosophische Fakultät;Neuendorf;97788;6;97074
Philosophische Fakultät;Neusitz;91616;7;97074
Philosophische Fakultät;Neustadt a.d.Aisch;91413;3;97074
Philosophische Fakultät;Neustadt an der Aisch;91413;3;97074
Philosophische Fakultät;Niederlauer;97618;3;97074
Philosophische Fakultät;Niedernberg;63843;5;97074
Philosophische Fakultät;Niedernhall;74676;3;97074
Philosophische Fakultät;Niederstetten;97996;3;97074
Philosophische Fakultät;Niederwerrn;97464;7;97074
Philosophische Fakultät;Nördlingen;86720;7;97074
Philosophische Fakultät;Nüdlingen;97720;5;97074
Philosophische Fakultät;Nürnberg;90411;3;97074
Philosophische Fakultät;Nürnberg;90425;3;97074
Philosophische Fakultät;Nürnberg;90455;4;97074
Philosophische Fakultät;Nürnberg;90480;4;97074
Philosophische Fakultät;Nürnberg;90491;4;97074
Philosophische Fakultät;Nürnberg;Undefined;20;97074
Philosophische Fakultät;Oberhausen;46049;3;97074
Philosophische Fakultät;Obernbreit;97342;7;97074
Philosophische Fakultät;Obernburg;63785;4;97074
Philosophische Fakultät;Obernzenn;91619;3;97074
Philosophische Fakultät;Oberthulba;97723;4;97074
Philosophische Fakultät;Oberwerrn;97464;5;97074
Philosophische Fakultät;Ochsenfurt;97199;31;97074
Philosophische Fakultät;Oerlenbach;97714;3;97074
Philosophische Fakultät;Passau;Undefined;4;97074
Philosophische Fakultät;Petersaurach;91580;3;97074
Philosophische Fakultät;Petersberg;36100;7;97074
Philosophische Fakultät;Poppenhausen;97490;3;97074
Philosophische Fakultät;Prichsenstadt;97357;4;97074
Philosophische Fakultät;Randersacker;97236;19;97074
Philosophische Fakultät;Rannungen;97517;3;97074
Philosophische Fakultät;Regensburg;93053;3;97074
Philosophische Fakultät;Regensburg;Undefined;8;97074
Philosophische Fakultät;Reichenberg;97234;9;97074
Philosophische Fakultät;Remlingen;97280;5;97074
Philosophische Fakultät;Rentweinsdorf;96184;3;97074
Philosophische Fakultät;Retzbach;97225;3;97074
Philosophische Fakultät;Retzstadt;97282;4;97074
Philosophische Fakultät;Rieneck;97794;6;97074
Philosophische Fakultät;Rimpar;97222;18;97074
Philosophische Fakultät;Rosenheim;83024;3;97074
Philosophische Fakultät;Roth;91154;3;97074
Philosophische Fakultät;Rothenburg ob der Tauber;91541;9;97074
Philosophische Fakultät;Rottendorf;97228;32;97074
Philosophische Fakultät;Rödelsee;97348;4;97074
Philosophische Fakultät;Röthlein;97520;5;97074
Philosophische Fakultät;Rüdenau;63924;4;97074
Philosophische Fakultät;Sachsen bei Ansbach;91623;4;97074
Philosophische Fakultät;Sailauf;63877;3;97074
Philosophische Fakultät;Schaafheim;64850;4;97074
Philosophische Fakultät;Scheinfeld;91443;4;97074
Philosophische Fakultät;Schleusingen;98553;3;97074
Philosophische Fakultät;Schlüsselfeld;96132;5;97074
Philosophische Fakultät;Schmalkalden;98574;3;97074
Philosophische Fakultät;Schmitten;61389;3;97074
Philosophische Fakultät;Schonungen;97453;10;97074
Philosophische Fakultät;Schwabach;91126;3;97074
Philosophische Fakultät;Schwanfeld;97523;3;97074
Philosophische Fakultät;Schwarzach;97359;5;97074
Philosophische Fakultät;Schwarzach am Main;97359;4;97074
Philosophische Fakultät;Schwebheim;97525;4;97074
Philosophische Fakultät;Schweinfurt;97421;16;97074
Philosophische Fakultät;Schweinfurt;97422;24;97074
Philosophische Fakultät;Schweinfurt;97424;18;97074
Philosophische Fakultät;Schwetzingen;68723;4;97074
Philosophische Fakultät;Schwäbisch Hall;74523;9;97074
Philosophische Fakultät;Schöllkrippen;63825;4;97074
Philosophische Fakultät;Segnitz;97340;4;97074
Philosophische Fakultät;Seinsheim;97342;4;97074
Philosophische Fakultät;Senden;89250;3;97074
Philosophische Fakultät;Sennfeld;97526;5;97074
Philosophische Fakultät;Seoul;Undefined;3;97074
Philosophische Fakultät;Sinsheim;74889;3;97074
Philosophische Fakultät;Sommerach;97334;6;97074
Philosophische Fakultät;Sommerhausen;97286;10;97074
Philosophische Fakultät;Sonnefeld;96242;3;97074
Philosophische Fakultät;Stegaurach;96135;3;97074
Philosophische Fakultät;Strullendorf;96129;3;97074
Philosophische Fakultät;Stuttgart;Undefined;7;97074
Philosophische Fakultät;Sulzbach am Main;63834;5;97074
Philosophische Fakultät;Sulzheim;97529;3;97074
Philosophische Fakultät;Tauberbischofsheim;97941;30;97074
Philosophische Fakultät;Taunusstein;65232;3;97074
Philosophische Fakultät;Theilheim;97288;11;97074
Philosophische Fakultät;Thüngen;97289;4;97074
Philosophische Fakultät;Thüngersheim;97291;6;97074
Philosophische Fakultät;Triefenstein;97855;10;97074
Philosophische Fakultät;Tübingen;Undefined;5;97074
Philosophische Fakultät;Uettingen;97292;3;97074
Philosophische Fakultät;Uffenheim;97215;11;97074
Philosophische Fakultät;Ulm;Undefined;5;97074
Philosophische Fakultät;Undefined;Undefined;1355;97074
Philosophische Fakultät;Unterpleichfeld;97294;6;97074
Philosophische Fakultät;Unterspiesheim;97509;3;97074
Philosophische Fakultät;Urspringen;97857;4;97074
Philosophische Fakultät;Veitshöchheim;97209;25;97074
Philosophische Fakultät;Volkach;97332;20;97074
Philosophische Fakultät;Waiblingen;Undefined;3;97074
Philosophische Fakultät;Waigolshausen;97534;3;97074
Philosophische Fakultät;Waldaschaff;63857;6;97074
Philosophische Fakultät;Waldbrunn;97295;10;97074
Philosophische Fakultät;Waldbüttelbrunn;97297;17;97074
Philosophische Fakultät;Wassertrüdingen;91717;4;97074
Philosophische Fakultät;Weidenbach;91746;3;97074
Philosophische Fakultät;Weihenzell;91629;4;97074
Philosophische Fakultät;Weikersheim;97990;8;97074
Philosophische Fakultät;Weißenhorn;Undefined;3;97074
Philosophische Fakultät;Werneck;97440;8;97074
Philosophische Fakultät;Wertheim;97877;27;97074
Philosophische Fakultät;Wiesbaden;Undefined;3;97074
Philosophische Fakultät;Wiesen;63831;3;97074
Philosophische Fakultät;Wiesenbronn;97355;4;97074
Philosophische Fakultät;Wiesentheid;97353;7;97074
Philosophische Fakultät;Wieseth;91632;4;97074
Philosophische Fakultät;Willanzheim;97348;3;97074
Philosophische Fakultät;Windsbach;91575;3;97074
Philosophische Fakultät;Wolframs-Eschenbach;91639;5;97074
Philosophische Fakultät;Wuerzburg;97070;3;97074
Philosophische Fakultät;Wörnitz;91637;3;97074
Philosophische Fakultät;Würzburg;97070;270;97074
Philosophische Fakultät;Würzburg;97072;324;97074
Philosophische Fakultät;Würzburg;97074;375;97074
Philosophische Fakultät;Würzburg;97076;53;97074
Philosophische Fakultät;Würzburg;97078;69;97074
Philosophische Fakultät;Würzburg;97080;187;97074
Philosophische Fakultät;Würzburg;97082;174;97074
Philosophische Fakultät;Würzburg;97084;113;97074
Philosophische Fakultät;Zell;97299;5;97074
Philosophische Fakultät;Zell a. Main;97299;5;97074
Philosophische Fakultät;Zell am Main;97299;8;97074
Philosophische Fakultät;Zellingen;97225;16;97074
Philosophische Fakultät;Zeuzleben;97440;3;97074
Professional School of Education;Undefined;Undefined;7;97074
Professional School of Education;Würzburg;Undefined;4;97074
Referat 2.4: Studienberatung;Estenfeld;97230;3;97074
Referat 2.4: Studienberatung;Hettstadt;97265;4;97074
Referat 2.4: Studienberatung;Höchberg;97204;3;97074
Referat 2.4: Studienberatung;Rimpar;97222;4;97074
Referat 2.4: Studienberatung;Schweinfurt;97422;4;97074
Referat 2.4: Studienberatung;Tauberbischofsheim;97941;4;97074
Referat 2.4: Studienberatung;Undefined;Undefined;57;97074
Referat 2.4: Studienberatung;Veitshöchheim;97209;3;97074
Referat 2.4: Studienberatung;Würzburg;97076;9;97074
Referat 2.4: Studienberatung;Würzburg;97082;3;97074
Referat 2.4: Studienberatung;Würzburg;97084;6;97074
Referat 2.4: Studienberatung;Würzburg;Undefined;5;97074
UWGS University of Würzburg Graduate Schools;Bergtheim;97241;3;97074
UWGS University of Würzburg Graduate Schools;Bochum;Undefined;3;97074
UWGS University of Würzburg Graduate Schools;Gerbrunn;97218;19;97074
UWGS University of Würzburg Graduate Schools;Heidelberg;Undefined;3;97074
UWGS University of Würzburg Graduate Schools;Höchberg;97204;5;97074
UWGS University of Würzburg Graduate Schools;Undefined;Undefined;126;97074
UWGS University of Würzburg Graduate Schools;Wuerzburg;97076;3;97074
UWGS University of Würzburg Graduate Schools;Wuerzburg;97078;3;97074
UWGS University of Würzburg Graduate Schools;Wuerzburg;97080;5;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97070;43;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97072;60;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97074;53;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97076;19;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97078;21;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97080;72;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97082;16;97074
UWGS University of Würzburg Graduate Schools;Würzburg;97084;12;97074
Wirtschaftswissenschaftliche Fakultät;Aalen;73431;3;"97070"
Wirtschaftswissenschaftliche Fakultät;Altertheim;97237;6;"97070"
Wirtschaftswissenschaftliche Fakultät;Alzenau;63755;5;"97070"
Wirtschaftswissenschaftliche Fakultät;Ansbach;91522;12;"97070"
