fb_str;city;postcode;Number_of_students;faculty_plz
Fakultät für Chemie und Pharmazie;Lehrberg;91611;3;97074
Fakultät für Chemie und Pharmazie;Leonberg;71229;3;97074
Fakultät für Chemie und Pharmazie;Ludwigshafen;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Mainbernheim;97350;3;97074
Fakultät für Chemie und Pharmazie;Mainz;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Marktheidenfeld;97828;3;97074
Fakultät für Chemie und Pharmazie;Mellrichstadt;97638;4;97074
Fakultät für Chemie und Pharmazie;Memmingen;87700;6;97074
Fakultät für Chemie und Pharmazie;Miltenberg;63897;4;97074
Fakultät für Chemie und Pharmazie;Mindelheim;87719;3;97074
Fakultät für Chemie und Pharmazie;München;Undefined;11;97074
Fakultät für Chemie und Pharmazie;Neuendettelsau;91564;3;97074
Fakultät für Chemie und Pharmazie;Niedernberg;63843;4;97074
Fakultät für Chemie und Pharmazie;Niederwerrn;97464;3;97074
Fakultät für Chemie und Pharmazie;Nürnberg;Undefined;9;97074
Fakultät für Chemie und Pharmazie;Obbach;97502;3;97074
Fakultät für Chemie und Pharmazie;Obernbreit;97342;3;97074
Fakultät für Chemie und Pharmazie;Ochsenfurt;97199;3;97074
Fakultät für Chemie und Pharmazie;Osnabrück;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Poppenhausen;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Prichsenstadt;97357;4;97074
Fakultät für Chemie und Pharmazie;Randersacker;97236;5;97074
Fakultät für Chemie und Pharmazie;Regensburg;Undefined;7;97074
Fakultät für Chemie und Pharmazie;Reichenberg;97234;5;97074
Fakultät für Chemie und Pharmazie;Rimpar;97222;8;97074
Fakultät für Chemie und Pharmazie;Rottendorf;97228;4;97074
Fakultät für Chemie und Pharmazie;Schonungen;97453;4;97074
Fakultät für Chemie und Pharmazie;Schwaigern;74193;3;97074
Fakultät für Chemie und Pharmazie;Schweinfurt;97421;11;97074
Fakultät für Chemie und Pharmazie;Schweinfurt;97422;10;97074
Fakultät für Chemie und Pharmazie;Schweinfurt;97424;6;97074
Fakultät für Chemie und Pharmazie;Schwäbisch Hall;74523;3;97074
Fakultät für Chemie und Pharmazie;Sommerhausen;97286;3;97074
Fakultät für Chemie und Pharmazie;Stadtsteinach;95346;3;97074
Fakultät für Chemie und Pharmazie;Stuttgart;Undefined;7;97074
Fakultät für Chemie und Pharmazie;Tauberbischofsheim;97941;6;97074
Fakultät für Chemie und Pharmazie;Thüngersheim;97291;5;97074
Fakultät für Chemie und Pharmazie;Triefenstein;97855;3;97074
Fakultät für Chemie und Pharmazie;Tübingen;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Ulm;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Undefined;Undefined;761;97074
Fakultät für Chemie und Pharmazie;Unterpleichfeld;97294;4;97074
Fakultät für Chemie und Pharmazie;Veitshöchheim;97209;5;97074
Fakultät für Chemie und Pharmazie;Volkach;97332;3;97074
Fakultät für Chemie und Pharmazie;Weikersheim;97990;3;97074
Fakultät für Chemie und Pharmazie;Wertheim;97877;9;97074
Fakultät für Chemie und Pharmazie;Wiesbaden;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Winterhausen;97286;3;97074
Fakultät für Chemie und Pharmazie;Würzburg;97070;77;97074
Fakultät für Chemie und Pharmazie;Würzburg;97072;102;97074
Fakultät für Chemie und Pharmazie;Würzburg;97074;158;97074
Fakultät für Chemie und Pharmazie;Würzburg;97076;33;97074
Fakultät für Chemie und Pharmazie;Würzburg;97078;20;97074
Fakultät für Chemie und Pharmazie;Würzburg;97080;57;97074
Fakultät für Chemie und Pharmazie;Würzburg;97082;36;97074
Fakultät für Chemie und Pharmazie;Würzburg;97084;34;97074
Fakultät für Chemie und Pharmazie;Zell am Main;97299;3;97074
Fakultät für Chemie und Pharmazie;Zellingen;97225;5;97074
Fakultät für Chemie und Pharmazie;Öhringen;74613;6;97074
Fakultät für Humanwissenschaften;Aachen;52064;3;97074
Fakultät für Humanwissenschaften;Aachen;52066;3;97074
Fakultät für Humanwissenschaften;Aalen;73431;4;97074
Fakultät für Humanwissenschaften;Aalen;73434;4;97074
Fakultät für Humanwissenschaften;Absberg;91720;3;97074
Fakultät für Humanwissenschaften;Alzenau;63755;10;97074
Fakultät für Humanwissenschaften;Amberg;92224;11;97074
Fakultät für Humanwissenschaften;Amorbach;63916;4;97074
Fakultät für Humanwissenschaften;Ansbach;91522;20;97074
Fakultät für Humanwissenschaften;Aschaffenburg;63739;10;97074
Fakultät für Humanwissenschaften;Aschaffenburg;63741;13;97074
Fakultät für Humanwissenschaften;Aschaffenburg;63743;15;97074
Fakultät für Humanwissenschaften;Asperg;71679;3;97074
Fakultät für Humanwissenschaften;Augsburg;86156;3;97074
Fakultät für Humanwissenschaften;Augsburg;86157;3;97074
Fakultät für Humanwissenschaften;Augsburg;86161;5;97074
Fakultät für Humanwissenschaften;Augsburg;86199;4;97074
Fakultät für Humanwissenschaften;Augsburg;Undefined;11;97074
Fakultät für Humanwissenschaften;Bad Abbach;93077;3;97074
Fakultät für Humanwissenschaften;Bad Hersfeld;36251;3;97074
Fakultät für Humanwissenschaften;Bad Homburg;61350;3;97074
Fakultät für Humanwissenschaften;Bad Kissingen;97688;17;97074
Fakultät für Humanwissenschaften;Bad Königshofen;97631;5;97074
Fakultät für Humanwissenschaften;Bad Mergentheim;97980;19;97074
Fakultät für Humanwissenschaften;Bad Neustadt;97616;6;97074
Fakultät für Humanwissenschaften;Bad Staffelstein;96231;3;97074
Fakultät für Humanwissenschaften;Bad Windsheim;91438;9;97074
Fakultät für Humanwissenschaften;Bamberg;96049;9;97074
Fakultät für Humanwissenschaften;Bamberg;96050;7;97074
Fakultät für Humanwissenschaften;Bamberg;96052;8;97074
Fakultät für Humanwissenschaften;Bayreuth;95445;4;97074
Fakultät für Humanwissenschaften;Bayreuth;95447;6;97074
Fakultät für Humanwissenschaften;Bayreuth;95448;5;97074
Fakultät für Humanwissenschaften;Bergrheinfeld;97493;6;97074
Fakultät für Humanwissenschaften;Bergtheim;97241;7;97074
Fakultät für Humanwissenschaften;Berlin;Undefined;27;97074
Fakultät für Humanwissenschaften;Biebelried;97318;5;97074
Fakultät für Humanwissenschaften;Billigheim;Undefined;3;97074
Fakultät für Humanwissenschaften;Birkenfeld;97834;7;97074
Fakultät für Humanwissenschaften;Bobingen;86399;3;97074
Fakultät für Humanwissenschaften;Bonn;Undefined;6;97074
Fakultät für Humanwissenschaften;Braunschweig;Undefined;3;97074
Fakultät für Humanwissenschaften;Breitengüßbach;96149;4;97074
Fakultät für Humanwissenschaften;Bruchköbel;63486;3;97074
Fakultät für Humanwissenschaften;Brühl;50321;3;97074
Fakultät für Humanwissenschaften;Burgbernheim;91593;3;97074
Fakultät für Humanwissenschaften;Burgsinn;97775;5;97074
Fakultät für Humanwissenschaften;Buxheim;87740;3;97074
Fakultät für Humanwissenschaften;Bütthard;97244;5;97074
Fakultät für Humanwissenschaften;Cadolzburg;90556;4;97074
Fakultät für Humanwissenschaften;Coburg;96450;6;97074
Fakultät für Humanwissenschaften;Crailsheim;74564;6;97074
Fakultät für Humanwissenschaften;Creglingen;97993;5;97074
Fakultät für Humanwissenschaften;Darmstadt;Undefined;4;97074
Fakultät für Humanwissenschaften;Dettelbach;97337;12;97074
Fakultät für Humanwissenschaften;Dillingen;89407;5;97074
Fakultät für Humanwissenschaften;Dinkelsbühl;91550;5;97074
Fakultät für Humanwissenschaften;Dittelbrunn;97456;6;97074
Fakultät für Humanwissenschaften;Dombühl;91601;3;97074
Fakultät für Humanwissenschaften;Donauwörth;86609;3;97074
Fakultät für Humanwissenschaften;Dorfprozelten;97904;3;97074
Fakultät für Humanwissenschaften;Dortmund;Undefined;4;97074
Fakultät für Humanwissenschaften;Dossenheim;Undefined;3;97074
Fakultät für Humanwissenschaften;Dresden;Undefined;3;97074
Fakultät für Humanwissenschaften;Duderstadt;37115;3;97074
Fakultät für Humanwissenschaften;Dürrwangen;91602;4;97074
Fakultät für Humanwissenschaften;Düsseldorf;Undefined;5;97074
Fakultät für Humanwissenschaften;Ebensfeld;96250;3;97074
Fakultät für Humanwissenschaften;Ehrenberg;36115;3;97074
Fakultät für Humanwissenschaften;Eibelstadt;97246;7;97074
Fakultät für Humanwissenschaften;Eichenzell;36124;4;97074
Fakultät für Humanwissenschaften;Eichstätt;85072;6;97074
Fakultät für Humanwissenschaften;Eisingen;97249;12;97074
Fakultät für Humanwissenschaften;Ellwangen;73479;3;97074
Fakultät für Humanwissenschaften;Elsenfeld;63820;4;97074
Fakultät für Humanwissenschaften;Eltmann;97483;3;97074
Fakultät für Humanwissenschaften;Emskirchen;91448;5;97074
Fakultät für Humanwissenschaften;Erlabrunn;97250;3;97074
Fakultät für Humanwissenschaften;Erlangen;91052;9;97074
